elbow_angle,stride_knee_angle,drive_knee_angle,trunk_lean,hip_shoulder_separation,stride_length_pct,shoulder_angle,avg_visibility,frame,time_sec,phase
147.26763862753853,106.01514663515604,94.01441832288184,151.62516892176419,3.221778463837065,48.32369638682052,98.89023990368445,0.7112497886021932,35,0.7777777777777778,stride
146.9064879533291,106.70396150769182,91.04736557995116,146.72593088408968,3.651757712743179,47.86416589059201,97.84705541413615,0.7099501043558121,36,0.8,stride
146.90968758489433,102.87744099579493,88.936971875633,149.4370983981381,2.4671949339546795,47.10138876098932,88.41805738435579,0.6987273941437403,37,0.8222222222222222,stride
133.92565753864335,123.50637942217837,111.02329160459841,150.1853951285593,0.8737511179574694,47.44858145669701,43.06501875323925,0.7186529636383057,38,0.8444444444444444,stride
129.99899133653292,118.90353719102137,114.99478444111007,136.91159471874755,0.34873505036180563,47.800575985226885,42.31026396889759,0.7425233622392019,39,0.8666666666666667,acceleration
117.15183023151393,120.81078987225375,119.8532931438562,122.88013395060132,4.077097432188112,47.3993372783926,31.409004220427526,0.764926036198934,40,0.8888888888888888,acceleration
97.3787612929123,128.6669842035489,136.05344914364034,115.76581568025715,10.259623580399442,50.832780414297375,24.47372254726285,0.7827193240324656,41,0.9111111111111111,acceleration
118.63435092427842,128.62982489233812,135.13746273234273,117.77009624411421,11.689775071038087,52.137163318789604,27.56023296726443,0.7998796105384827,42,0.9333333333333333,acceleration
109.4558324190954,144.81196501580916,139.65485586689505,107.51332970499993,10.132944326521553,56.9948533495255,37.74924023775941,0.8054462969303131,43,0.9555555555555556,acceleration
121.14876730765641,140.98421337133087,138.57202605964014,106.09328481038726,7.9881393701176915,57.79804122839407,33.26009526198271,0.8123762110869089,44,0.9777777777777777,acceleration
86.97808053370136,124.52204167024836,119.70332863987738,105.15479304172716,11.991418822121203,60.74835144735553,37.75487248485721,0.800121913353602,45,1.0,acceleration
